"title","year","popularity","comedy","fantasy","romance","horror","action","non-fiction","type"
"Relatos salvajes","2014","8.1","1","1","0","0","1","0","M"
"The Family","2013","6.3","1","0","0","1","1","0","M"
"The Light Between Oceans","2016","7.2","0","1","1","0","0","0","M"
"Taare Zameen Par","2007","8.5","0","1","0","0","0","1","M"
"Limitless","2011","7.4","0","1","0","1","1","0","M"
"El secreto de sus ojos","2009","8.2","0","1","1","1","0","0","M"
"Transpecos","2016","5.8","0","0","0","0","1","0","M"
"Below Her Mouth","2016","5.6","0","1","0","0","0","0","M"
"Adoration","2013","6.2","0","1","1","0","0","0","M"
"Moonlight","2016","7.5","0","1","0","0","0","0","M"
"Genius","2016","6.5","0","1","0","0","0","1","M"
"Ma vie de Courgette","2016","7.8","1","1","0","0","0","0","M"
"Sex and the City","2008","5.5","1","1","1","0","0","0","M"
"Don't Fuck in the Woods","2016","2.7","0","0","0","1","0","0","M"
"Rock Dog","2016","5.8","1","0","0","0","1","0","M"
"Frantz","2016","7.5","0","1","0","0","0","1","M"
"The Drop","2014","7.1","0","1","0","1","0","0","M"
"Spectral","2016","6.3","0","1","0","1","1","0","M"
"War Dogs","2016","7.1","1","1","0","1","0","0","M"
"Viral","2016","5.5","0","1","0","1","0","0","M"
"The Founder","2016","7.2","0","1","0","0","0","1","M"
"Morgan","2016","5.8","0","1","0","1","1","0","M"
"The Exception","2016","7.7","0","1","0","0","0","0","M"
"Whisky Galore","2016","5","1","0","1","0","0","0","M"
"Rambo","2008","7.1","0","0","0","0","1","1","M"
"The Thinning","2016","6","0","0","0","0","1","0","M"
"Lowriders","2016","6.3","0","1","0","0","0","0","M"
"Planet Terror","2007","7.1","1","0","0","1","1","0","M"
"10 Years","2011","6.1","1","1","1","0","0","0","M"
"The Nice Guys","2016","7.4","1","0","0","1","1","0","M"
"Les MisÃƒÂ©rables","2012","7.6","0","1","1","0","0","1","M"
"Only for One Night","2016","4.6","0","0","0","0","1","0","M"
"The Choice","2016","6.6","0","1","1","0","0","0","M"
"Ah-ga-ssi","2016","8.1","0","1","1","1","0","0","M"
"Ice Age: Collision Course","2016","5.7","1","0","0","0","1","0","M"
"The Fall","2006","7.9","1","1","0","0","1","0","M"
"Kimi no na wa","2016","8.6","1","1","0","0","0","0","M"
"Don't Think Twice","2016","6.8","1","1","0","0","0","0","M"
"King Cobra","2016","5.6","0","1","0","1","0","0","M"
"Hacker","2016","6.3","0","1","0","1","1","0","M"
"Rules Don't Apply","2016","5.7","1","1","1","0","0","0","M"
"La migliore offerta","2013","7.8","0","1","0","1","0","0","M"
"Tall Men","2016","3.2","0","1","0","1","1","0","M"
"The Edge of Seventeen","2016","7.4","1","1","0","0","0","0","M"
"Miss Sloane","2016","7.3","0","1","0","0","1","0","M"
"Search Party","2014","5.6","1","0","0","0","1","0","M"
"Grimsby","2016","6.2","1","0","0","0","1","0","M"
"Ouija: Origin of Evil","2016","6.1","0","0","0","1","1","0","M"
"The Void","2016","5.8","0","1","0","1","0","0","M"
"20th Century Women","2016","7.4","1","1","0","0","0","0","M"
"Mean Dreams","2016","6.3","0","0","0","0","1","0","M"
"Fallen","2016","5.6","0","1","0","0","1","0","M"
"Hunt for the Wilderpeople","2016","7.9","1","1","0","0","1","0","M"
"Sleeping Beauty","2011","5.3","0","1","1","0","0","0","M"
"Vampire Academy","2014","5.6","1","1","0","0","1","0","M"
"Absolutely Anything","2015","6","1","1","0","0","0","0","M"
"The Matchbreaker","2016","5.5","1","0","1","0","0","0","M"
"Personal Shopper","2016","6.3","0","1","0","1","1","0","M"
"Chuck","2016","6.8","0","1","0","0","0","1","M"
"Spy","2015","7.1","1","0","0","1","1","0","M"
"Nine Lives","2016","5.3","1","1","0","0","0","0","M"
"Sleeping with Other People","2015","6.5","1","1","1","0","0","0","M"
"I, Daniel Blake","2016","7.9","0","1","0","0","0","0","M"
"Sweeney Todd: The Demon Barber of Fleet Street","2007","7.4","0","1","0","1","0","1","M"
"Inferno","2016","6.2","0","0","0","1","1","0","M"
"Fracture","2007","7.2","0","1","0","1","0","0","M"
"The Last Face","2016","3.7","0","1","0","0","0","0","M"
"Me and Earl and the Dying Girl","2015","7.8","1","1","0","0","0","0","M"
"The Intouchables","2011","8.6","1","1","0","0","0","1","M"
