,title,year,popularity,homepage,type,action,comedy,fantasy,horror,non-fiction,romance
1899,The Prince,2014,4.6,,M,1,0,0,0,0,0
1900,City of Ghosts,2002,5.4,,M,1,0,0,0,0,0
1901,The Others,2001,7.4,,M,1,0,1,1,0,0
1902,Aliens,1986,7.7,,M,1,0,1,1,0,0
1903,My Fair Lady,2064,7.4,,M,0,0,1,0,1,1
1904,I Know What You Did Last Summer,1997,5.6,,M,1,0,0,1,0,0
1905,Sideways,2004,6.9,http://www.foxsearchlight.com/sideways/,M,0,1,1,0,0,1
1906,Beerfest,2006,5.8,,M,0,1,0,0,0,0
1907,Halloween,1978,7.4,http://www.theofficialjohncarpenter.com/halloween/,M,1,0,0,1,0,0
1908,Good Boy!,2003,4.7,http://www.goodboy.com/,M,0,1,1,0,0,0
1909,The Best Man Holiday,2013,6.7,,M,0,1,0,0,0,0
1910,Smokin' Aces,2006,6.4,http://www.smokinaces.net/,M,1,1,0,1,0,0
1911,Saw: The Final Chapter,2010,5.8,http://www.saw3dmovie.com,M,0,0,0,1,0,0
1912,40 Days and 40 Nights,2002,5.2,,M,0,1,0,0,0,1
1913,A Night at the Roxbury,1998,5.9,,M,0,1,0,0,0,0
1914,Beastly,2011,6,http://www.beastlythemovie.com/,M,0,0,1,0,0,1
1915,Dickie Roberts: Former Child Star,2003,5.1,,M,0,1,0,0,0,0
1916,"McFarland, USA",2015,7.4,,M,0,0,1,0,0,0
1917,Lottery Ticket,2010,5.6,,M,0,1,0,0,0,0
1918,ATL,2006,6,,M,0,0,1,0,0,0
1919,Summer Catch,2001,4.8,,M,0,1,1,0,0,1
1920,A Simple Plan,1998,6.9,,M,1,0,1,1,0,0
1921,They,2002,4.6,,M,1,0,0,1,0,0
1922,Larry the Cable Guy: Health Inspector,2006,3.3,,M,0,1,0,0,0,0
1923,The Adventures of Elmo in Grouchland,1999,6.3,,M,0,0,0,0,0,0
1924,Brooklyn's Finest,2009,6.2,,M,1,0,1,1,0,0
1925,55 Days at Peking,2063,6.3,,M,1,0,1,0,1,0
1926,My Life in Ruins,2009,5.6,http://www.foxsearchlight.com/mylifeinruins/,M,0,1,0,0,0,1
1927,American Dreamz,2006,4.9,,M,0,1,1,0,0,0
1928,Superman IV: The Quest for Peace,1987,4.1,,M,1,0,1,0,0,0
1929,How She Move,2008,3,,M,0,0,1,0,0,0
1930,Running Scared,2006,7,https://www.warnerbros.com/running-scared,M,1,0,1,1,0,0
1931,Bobby Jones: Stroke of Genius,2004,5.5,,M,0,0,1,0,0,0
1932,Shanghai Surprise,1986,2.9,,M,1,0,0,0,0,0
1933,Roar,1981,5.6,http://www.roarthemovie.com/,M,1,0,0,0,0,0
1934,Veronica Guerin,2003,6.8,,M,1,0,1,1,0,0
1935,Escobar: Paradise Lost,2014,6.1,,M,1,0,0,0,0,1
1936,Southland Tales,2006,5.2,http://darko.com/film_southlandtales.html,M,1,1,1,0,0,0
1937,Dragon Hunters,2008,6.5,,M,0,1,0,0,0,0
1938,Damnation Alley,1977,5,,M,1,0,1,0,0,0
1939,The Apparition,2012,4.5,http://theapparition.warnerbros.com,M,1,0,0,1,0,0
1940,My Girl,1991,7,,M,0,1,1,0,0,0
1941,Fur: An Imaginary Portrait of Diane Arbus,2006,5.8,http://www.furmovie.com/,M,0,0,1,1,0,1
1942,Wall Street,1987,7,,M,0,0,1,1,0,0
1943,Sense and Sensibility,1995,7.2,,M,0,0,1,0,0,1
1944,Becoming Jane,2007,6.9,http://becomingjane-themovie.com/,M,0,0,1,0,0,1
1945,Sydney White,2007,6,,M,0,1,0,0,0,0
1946,House of Sand and Fog,2003,7,,M,0,0,1,0,0,0
1947,Dead Poets Society,1989,8.1,,M,0,0,1,0,0,0
1948,Dumb and Dumber,1994,6.5,,M,0,1,0,0,0,0
1949,When Harry Met Sally...,1989,7.3,,M,0,1,1,0,0,1
1950,The Verdict,1982,7.4,,M,0,0,1,0,0,0
1951,Road Trip,2000,5.9,,M,1,1,0,0,0,0
1952,Varsity Blues,1999,6,,M,0,1,1,0,0,1
1953,The Artist,2011,7.3,http://www.warnerbros.fr/the-artist,M,0,1,1,0,0,1
1954,The Unborn,2009,4.8,http://www.theunbornmovie.net/,M,1,0,0,1,0,0
1955,The Texas Chainsaw Massacre: The Beginning,2006,5.9,,M,0,0,0,1,0,0
1956,The Young Messiah,2016,6.4,,M,0,0,1,0,0,0
1957,The Master of Disguise,2002,3.7,,M,0,1,0,0,0,0
1958,See Spot Run,2001,4.8,,M,1,1,0,0,0,0
1959,Baby Boy,2001,7.4,,M,0,0,1,1,0,1
1960,The Roommate,2011,5.3,http://www.theroommate-movie.com/,M,1,0,1,1,0,0
1961,Joe Dirt,2001,5.5,,M,1,1,1,1,0,1
1962,Double Impact,1991,5.3,,M,1,0,1,1,0,0
1963,The Women,2008,4.6,http://thewomen.warnerbros.com/index.html,M,0,1,1,0,0,1
1964,Arn: The Knight Templar,2007,6.4,,M,1,0,1,0,0,1
1965,Boys and Girls,2000,5.4,,M,0,1,1,0,0,1
1966,White Oleander,2002,7.2,,M,0,0,1,0,0,0
1967,Drowning Mona,2000,5.4,,M,0,1,0,1,0,0
1968,Radio Days,1987,7,,M,0,1,1,0,0,0
1969,How to Deal,2003,5.7,,M,0,1,1,0,0,1
1970,My Stepmother is an Alien,1988,5.3,,M,0,1,1,0,0,0
1971,Philadelphia,1993,7.6,,M,0,0,1,0,0,0
1972,The Thirteenth Floor,1999,6.8,,M,1,0,1,1,0,0
1973,The Cookout,2004,4.6,,M,0,1,1,0,0,0
1974,Meteor,1979,5.1,,M,1,0,1,0,0,0
1975,Duets,2000,5.5,,M,0,1,1,0,1,0
1976,Hollywood Ending,2002,6.4,,M,0,1,1,0,0,0
1977,Detroit Rock City,1999,6.7,,M,0,1,0,0,1,0
1978,Highlander,1986,6.8,,M,1,0,1,0,0,0
1979,Things We Lost in the Fire,2007,6.7,http://www.thingswelostinthefiremovie.com/,M,0,0,1,0,0,0
1980,Steel,1997,4.3,,M,1,0,1,0,0,0
1981,The Immigrant,2013,6.2,http://theimmigrant-lefilm.com/,M,0,0,1,0,0,1
1982,The White Countess,2005,6.9,,M,0,0,1,0,1,1
1983,Soul Plane,2004,4.7,,M,0,1,0,0,0,1
1984,Welcome to the Sticks,2008,6.8,http://www.bienvenuechezleschtis-lefilm.com/,M,0,1,0,0,0,0
1985,Good,2008,6.3,,M,0,0,1,0,0,0
1986,Enter the Void,2009,7.2,http://www.ifcfilms.com/films/enter-the-void,M,0,0,1,0,0,0
1987,Vamps,2012,4.8,,M,0,1,0,1,0,1
1988,Zulu,2013,6.7,,M,1,0,1,1,0,0
1989,The Homesman,2014,6.4,,M,1,0,1,0,0,0
1990,Juwanna Mann,2002,4.2,http://www.juwannamann.com/,M,0,1,1,0,0,0
1991,Ararat,2002,5.7,,M,0,0,1,0,1,0
1992,Madison,2001,5.3,,M,1,0,1,0,0,0
1993,Slow Burn,2005,5.5,,M,1,0,1,1,0,0
1994,Wasabi,2001,6.2,,M,1,1,1,0,0,0
1995,Beverly Hills Cop,1984,6.8,,M,1,1,0,1,0,0
1996,Home Alone,1990,7.1,https://www.foxconnect.com/home-alone-4.html,M,0,1,0,0,0,0
1997,Three Men and a Baby,1987,5.8,,M,0,1,1,0,0,0
1998,Tootsie,1982,6.9,,M,0,1,0,0,0,1
1999,Top Gun,1986,6.7,,M,1,0,0,0,1,1
2000,"Crouching Tiger, Hidden Dragon",2000,7.2,,M,1,0,1,0,0,1
2001,American Beauty,1999,7.9,http://www.dreamworks.com/ab/,M,0,0,1,0,0,0
2002,Twins,1988,5.7,,M,0,1,0,0,0,0
2003,The Yellow Handkerchief,2008,6.4,http://www.theyellowhandkerchief.com/,M,0,0,1,0,0,1
2004,The Color Purple,1985,7.7,,M,0,0,1,0,0,0
2005,Tidal Wave,2009,6.5,,M,1,0,1,0,0,0
2006,Private Benjamin,1980,6,,M,0,1,0,0,0,0
2007,Coal Miner's Daughter,1980,7.2,,M,0,0,1,0,1,0
2008,National Lampoon's Vacation,1983,7.1,,M,1,1,0,0,0,1
2009,Bad Grandpa,2013,6,,M,0,1,0,0,0,0
2010,The Queen,2006,6.8,http://www.thequeenmovie.co.uk/,M,0,0,1,0,0,0
2011,Beetlejuice,1988,7.1,,M,0,1,1,0,0,0
2012,Why Did I Get Married?,2007,6.1,,M,0,1,1,0,0,0
2013,Little Women,1994,7,,M,0,0,1,0,0,1
2014,The Woman in Black,2012,6.1,http://womaninblack.com/,M,1,0,1,1,0,0
2015,When a Stranger Calls,2006,5.4,http://www.sonypictures.com/movies/whenastrangercalls/site/,M,1,0,0,1,0,0
2016,Big Fat Liar,2002,5.6,,M,0,1,0,0,0,0
2017,The Deer Hunter,1978,7.8,,M,0,0,1,0,1,0
2018,Wag the Dog,1997,6.7,,M,0,1,1,0,0,0
2019,The Lizzie McGuire Movie,2003,5.7,http://disneydvd.disney.go.com/the-lizzie-mcguire-movie.html,M,0,1,0,0,0,0
2020,Snitch,2013,5.8,,M,1,0,1,0,0,0
2021,Krampus,2015,5.9,http://www.krampusthefilm.com/,M,0,1,1,1,0,0
2022,The Faculty,1998,6.2,,M,0,0,1,1,0,0
2023,What's Love Got to Do with It,1993,6.9,,M,0,0,1,0,1,0
2024,Cop Land,1997,6.6,http://www.miramax.com/movie/cop-land,M,1,0,1,1,0,0
2025,Not Another Teen Movie,2001,5.5,,M,0,1,0,0,0,0
2026,The Skulls,2000,5.8,,M,1,0,1,1,0,0
2027,Malibu's Most Wanted,2003,4.7,,M,0,1,0,1,0,0
2028,Where the Heart Is,2000,6.9,,M,0,1,1,0,0,1
2029,Lawrence of Arabia,2062,7.8,,M,1,0,1,0,1,0
2030,Halloween II,2009,5.1,http://www.halloween2-movie.com/,M,0,0,0,1,0,0
2031,The Last House on the Left,2009,6.2,http://www.thelasthouseontheleft.com/,M,1,0,1,1,0,0
2032,The Wedding Date,2005,6.2,https://www.uphe.com/movies/the-wedding-date,M,0,1,0,0,0,1
2033,Halloween: Resurrection,2002,4.5,,M,1,0,0,1,0,0
2034,The Princess Bride,1987,7.6,,M,1,1,1,0,0,1
2035,The Great Debaters,2007,6.9,,M,0,0,1,0,0,0
2036,Confessions of a Teenage Drama Queen,2004,5.1,,M,0,1,0,0,0,0
2037,The Object of My Affection,1998,5.6,,M,0,1,1,0,0,1
2038,When the Game Stands Tall,2014,6.3,,M,0,0,1,0,0,0
2039,Because of Winn-Dixie,2005,6.1,,M,0,1,1,0,0,0
2040,Love & Basketball,2000,7.4,,M,1,1,1,0,0,1
2041,Grosse Pointe Blank,1997,6.9,,M,1,1,0,0,0,1
2042,All About Steve,2009,4.7,http://www.allaboutstevemovie.com/,M,0,1,0,0,0,0
2043,Book of Shadows: Blair Witch 2,2000,4.3,,M,1,0,0,1,0,0
2044,The Craft,1996,6.3,,M,1,0,1,1,0,0
2045,Match Point,2005,7.3,,M,1,0,1,1,0,1
2046,Ramona and Beezus,2010,6.1,http://www.ramonaandbeezus.com/,M,0,1,0,0,0,0
2047,The Remains of the Day,1993,7.5,,M,0,0,1,0,0,1
2048,Boogie Nights,1997,7.5,,M,0,0,1,0,0,0
2049,Nowhere to Run,1993,5.5,,M,1,0,1,0,0,0
2050,Flicka,2006,6.1,,M,0,0,1,0,0,0
2051,The Hills Have Eyes 2,2007,5.2,,M,1,0,0,1,0,0
2052,Urban Legends: Final Cut,2000,4.4,,M,0,0,0,1,0,0
2053,Tuck Everlasting,2002,6.4,,M,0,0,1,0,0,1
2054,The Marine,2006,5,,M,1,0,1,0,0,0
2055,Country Strong,2010,5.9,http://www.countrystrong-movie.com/,M,0,0,1,0,0,1
2056,Disturbing Behavior,1998,5.5,,M,0,0,1,1,0,0
2057,The Place Beyond the Pines,2013,6.8,http://www.focusfeatures.com/the_place_beyond_the_pines,M,0,0,1,1,0,0
2058,The November Man,2014,6,http://thenovemberman.com/,M,1,0,0,1,0,0
2059,Eye of the Beholder,1999,5.3,,M,1,0,1,1,0,0
2060,Firestarter,1984,5.9,,M,1,0,1,1,0,0
2061,Killing Them Softly,2012,5.8,http://killingthemsoftlymovie.com/,M,1,0,0,1,0,0
2062,A Most Wanted Man,2014,6.5,,M,1,0,0,0,0,0
2063,Freddy Got Fingered,2001,4.6,,M,0,1,0,0,0,0
2064,VeggieTales: The Pirates Who Don't Do Anything,2008,5.9,,M,1,1,1,0,0,0
2065,U2 3D,2007,6.7,http://www.u23dmovie.com/,M,0,0,0,0,1,0
2066,Highlander: Endgame,2000,4.4,,M,1,0,1,0,0,0
2067,Idlewild,2006,5.1,,M,0,0,1,1,1,0
2068,Whip It,2009,6.7,,M,0,0,1,0,0,0
2069,Knockaround Guys,2001,5.9,http://www.newline.com/properties/knockaroundguys.html,M,1,0,0,1,0,0
2070,Confidence,2003,6.4,,M,1,1,0,1,0,0
2071,The Muse,1999,5.3,,M,0,1,1,0,0,0
2072,De-Lovely,2004,6.3,,M,0,0,1,0,1,0
2073,New York Stories,1989,6.2,,M,0,1,1,0,0,1
2074,Barney's Great Adventure,1998,2.9,,M,0,0,0,0,0,0
2075,The Man with the Iron Fists,2012,5.2,,M,1,0,0,0,0,0
2076,Home Fries,1998,4.8,,M,0,1,1,0,0,1
2077,Here On Earth,2000,5.4,,M,0,0,0,0,0,1
2078,Brazil,1985,7.5,,M,0,1,1,0,0,0
2079,Raise Your Voice,2004,6,http://www.newline.com/properties/raiseyourvoice.html,M,0,0,1,0,1,1
2080,The Big Lebowski,1998,7.8,http://www.biglebowskibluray.com/splash.php,M,0,1,0,1,0,0
2081,Black Snake Moan,2006,6.6,http://www.moanmovie.com/,M,0,0,1,0,0,0
2082,Dark Blue,2002,6.5,,M,1,0,1,1,0,0
2083,A Mighty Heart,2007,6.7,http://www.amightyheartmovie.com/,M,1,0,1,0,0,0
2084,Whatever It Takes,2000,5,,M,0,1,1,0,0,1
2085,Boat Trip,2002,4.7,,M,0,1,0,0,0,0
2086,The Importance of Being Earnest,2002,6.7,,M,0,1,1,0,1,1
2087,The Love Letter,1998,4.7,,M,0,1,1,0,0,1
2088,Hoot,2006,5.5,,M,0,0,1,0,0,0
2089,Peeples,2013,5.6,http://www.peeplesmovie.com/,M,0,1,0,0,0,0
2090,The Rocker,2008,5.6,http://www.rockermovie.com,M,0,1,0,0,1,0
2091,Post Grad,2009,5,http://www.foxsearchlight.com/postgrad/,M,0,1,0,0,0,0
2092,Promised Land,2012,6,,M,0,0,1,0,0,0
2093,Whatever Works,2009,6.8,http://www.sonypictures.com/classics/whateverworks/,M,0,1,0,0,0,1
2094,The In Crowd,2000,4.7,http://in-crowd.warnerbros.com/,M,1,0,0,0,0,0
2095,The Three Burials of Melquiades Estrada,2005,7,,M,1,0,1,1,0,0
2096,Jakob the Liar,1999,6,,M,0,1,1,0,1,0
2097,Kiss Kiss Bang Bang,2005,7.2,,M,1,1,0,1,0,0
2098,Idle Hands,1999,6.1,,M,1,1,0,1,0,0
2099,Mulholland Drive,2001,7.6,,M,1,0,1,1,0,0
2100,Blood and Chocolate,2007,5.4,,M,0,0,1,1,0,1
2101,You Will Meet a Tall Dark Stranger,2010,5.8,,M,0,1,1,0,0,1
2102,Never Let Me Go,2010,6.8,http://www.foxsearchlight.com/neverletmego/,M,0,0,1,0,0,1
2103,The Company,2007,7,,M,0,0,1,0,0,0
2104,Transsiberian,2008,6.5,,M,1,0,0,1,0,0
2105,The Clan of the Cave Bear,1986,4.8,,M,1,0,1,0,0,0
2106,Crazy in Alabama,1999,6.5,,M,0,1,1,0,0,0
2107,Listening,2015,5.5,http://www.listeningmovie.com/,M,1,0,1,0,0,0
2108,Felicia's Journey,1999,6.6,,M,0,0,1,0,0,0
2109,Metropolis,2027,8,,M,0,0,1,0,0,0
2110,District B13,2004,6.5,http://www.banlieue13-lefilm.com/,M,1,0,1,0,0,0
2111,Things to Do in Denver When You're Dead,1995,6.7,,M,0,0,1,1,0,0
2112,The Assassin,2015,6.6,,M,1,0,1,0,1,0
2113,Buffalo Soldiers,2001,6.5,,M,1,1,1,1,1,0
2114,The Return,2003,7.4,,M,1,0,1,1,0,0
2115,Ong Bak 2,2008,6,http://www.ongbak2themovie.com/,M,1,0,0,0,0,0
2116,Silent Trigger,1996,5,,M,1,0,1,0,0,0
2117,Winnie Mandela,2011,5.2,http://www.dfilmscorp.ca/,M,0,0,1,0,0,0
2118,The Son of No One,2011,4.8,,M,1,0,1,1,0,0
2119,All The Queen's Men,2001,6.1,,M,1,1,1,0,1,0
2120,The Good Night,2007,5.7,,M,0,1,1,0,1,1
2121,Bathory: Countess of Blood,2008,5.6,,M,0,0,1,0,0,0
2122,Khumba,2013,5.8,http://www.triggerfish.co.za/khumba/,M,1,1,0,0,0,0
2123,Automata,2014,5.6,http://www.automata-movie.com/,M,1,0,1,0,0,0
2124,Dungeons & Dragons: Wrath of the Dragon God,2005,4.8,,M,1,0,1,0,0,0
2125,Chiamatemi Francesco - Il Papa della gente,2015,7.3,,M,0,0,1,0,0,0
2126,Shinjuku Incident,2009,6.7,http://shinjukuincident.emp.hk/,M,1,0,1,1,0,0
2127,Pandaemonium,2001,4.5,,M,0,0,1,0,0,0
2128,Groundhog Day,1993,7.4,,M,0,1,1,0,0,1
2129,Romeo + Juliet,1996,6.7,http://www.romeoandjuliet.com/,M,0,0,1,0,0,1
2130,Sarah's Key,2010,7.2,http://www.sarahskey.com.au/,M,0,0,1,0,1,0
2131,Freedom,2014,5.8,http://themoviefreedom.com/,M,0,0,1,0,0,0
2132,Unforgiven,1992,7.7,,M,1,0,0,0,0,0
2133,Manderlay,2005,6.9,,M,0,0,1,0,0,0
2134,Fatal Attraction,1987,6.6,,M,1,0,1,0,0,1
2135,Pretty Woman,1990,7,,M,0,1,0,0,0,1
2136,Crocodile Dundee II,1988,5.5,,M,1,1,0,0,0,0
2137,Broken Horses,2015,5,,M,1,0,1,1,0,0
2138,Born on the Fourth of July,1989,6.7,,M,0,0,1,0,1,0
2139,Cool Runnings,1993,6.8,,M,0,1,0,0,0,0
2140,My Bloody Valentine,2009,5.3,http://www.mybloodyvalentinein3d.com/,M,0,0,0,1,0,0
2141,Stomp the Yard,2007,6.1,,M,0,0,1,0,1,0
2142,The Spy Who Loved Me,1977,6.6,http://www.mgm.com/view/movie/1891/The-Spy-Who-Loved-Me/,M,1,0,0,0,0,0
2143,Urban Legend,1998,5.6,,M,1,0,0,1,0,0
2144,Good Deeds,2012,6.2,http://www.gooddeedsmovie.com/index.html,M,0,1,1,0,0,1
2145,White Fang,1991,6.5,,M,1,0,1,0,0,0
2146,Superstar,1999,5.1,,M,0,1,0,0,0,0
2147,The Iron Lady,2011,6.2,http://weinsteinco.com/sites/iron-lady/,M,0,0,1,0,1,0
2148,Jonah: A VeggieTales Movie,2002,6.4,,M,1,1,1,0,0,1
2149,Poetic Justice,1993,6.9,http://www.janetjackson.com,M,0,0,1,0,0,1
2150,All About the Benjamins,2002,5.8,,M,1,1,0,0,0,0
2151,Vampire in Brooklyn,1995,4.5,,M,0,1,0,1,0,1
2152,Exorcist II: The Heretic,1977,4.5,,M,1,0,1,1,0,0
2153,An American Haunting,2005,5.3,,M,1,0,0,1,0,0
2154,My Boss's Daughter,2003,4.4,,M,0,1,0,0,0,1
2155,A Perfect Getaway,2009,6.2,,M,1,0,0,1,0,0
2156,Our Family Wedding,2010,5.7,http://www.foxsearchlight.com/ourfamilywedding/,M,0,1,0,0,0,0
2157,Dead Man on Campus,1998,5.6,,M,0,1,0,0,0,0
2158,Tea with Mussolini,1999,5.8,,M,0,1,1,0,1,0
2159,Thinner,1996,5.5,,M,1,0,0,1,0,0
2160,"New York, New York",1977,6.1,,M,0,0,1,0,1,1
2161,Crooklyn,1994,6.7,,M,0,1,1,0,0,0
2162,I Think I Love My Wife,2007,5,,M,0,1,0,0,0,1
2163,Jason X,2001,4.5,,M,0,0,1,1,0,0
2164,Bobby,2006,6.4,,M,0,0,1,0,1,0
2165,Head Over Heels,2001,5.3,,M,0,1,0,0,0,1
2166,Fun Size,2012,5.5,,M,0,1,0,0,0,0
2167,The Diving Bell and the Butterfly,2007,7.4,,M,0,0,1,0,0,0
2168,Little Children,2006,6.9,http://www.littlechildrenmovie.com,M,0,0,1,0,0,1
2169,Gossip,2000,5.5,,M,1,0,1,1,0,0
2170,A Walk on the Moon,1999,6.2,,M,0,0,1,0,0,1
2171,Catch a Fire,2006,6.4,,M,1,0,1,0,0,0
2172,Soul Survivors,2001,4.4,,M,1,0,0,1,0,0
2173,Jefferson in Paris,1995,5.2,,M,0,0,1,0,0,1
2174,Easy Virtue,2008,6.3,http://www.easyvirtuethemovie.co.uk/,M,0,1,0,0,0,1
2175,Caravans,1978,5.8,,M,1,0,1,0,0,1
2176,Mr. Turner,2014,6.3,,M,0,0,1,0,1,0
2177,Wild Grass,2009,5.8,http://www.sonyclassics.com/wildgrass/,M,0,0,1,0,0,1
2178,Amen.,2002,7.1,,M,0,0,1,0,1,0
2179,Reign of Assassins,2010,6.7,http://jianyu.ent.sina.com.cn/,M,1,0,0,0,1,0
2180,The Lucky Ones,2008,6.3,http://www.theluckyonesmovie.com/,M,0,1,1,0,1,0
2181,Margaret,2011,6.1,http://www.foxsearchlight.com/margaret/,M,0,0,1,0,0,0
2182,Stan Helsing,2009,4,,M,0,1,0,1,0,0
2183,Flipped,2010,7.4,http://www.warnerbros.com/flipped,M,0,0,1,0,0,1
2184,Brokeback Mountain,2005,7.5,http://www.brokebackmountain.com,M,0,0,1,0,0,1
2185,Clueless,1995,6.9,,M,0,1,1,0,0,1
2186,Far from Heaven,2002,6.9,,M,0,0,1,0,0,1
2187,Hot Tub Time Machine 2,2015,5,,M,0,1,0,0,0,0
2188,Quills,2000,6.8,,M,0,0,1,0,0,0
2189,The Caveman's Valentine,2001,6,,M,1,0,1,1,0,0
2190,Downfall,2004,7.7,http://www.downfallthefilm.com/,M,0,0,1,0,1,0
2191,The Sea Inside,2004,7.2,,M,0,0,1,0,0,0
2192,Under the Skin,2014,6,,M,1,0,1,0,0,0
2193,"Good Morning, Vietnam",1987,7.1,,M,0,1,1,0,1,0
2194,The Last Godfather,2010,4.7,http://www.lastgodfathermovie.com/,M,1,1,0,0,0,0
2195,Justin Bieber: Never Say Never,2011,4.8,http://www.justinbieberneversaynever.com/,M,0,0,0,0,1,0
2196,The Godfather: Part II,1974,8.3,,M,0,0,1,1,0,0
2197,Save the Last Dance,2001,6.3,,M,0,0,1,0,1,1
2198,A Nightmare on Elm Street 4: The Dream Master,1988,5.8,,M,1,0,0,1,0,0
2199,"Dude, WhereÃƒÆ’Ã†â€™Ãƒâ€ Ã¢â‚¬â„¢ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬Ãƒâ€¦Ã‚Â¾ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¢s My Car?",2000,5.2,,M,0,1,0,0,0,0
2200,Young Guns,1988,6.6,,M,1,0,1,1,0,0
2201,St. Vincent,2014,7.1,http://stvincent-movie.com/,M,0,1,0,0,0,0
2202,About Last Night,2014,6,,M,0,1,0,0,0,1
2203,10 Things I Hate About You,1999,7.3,,M,0,1,1,0,0,1
2204,The New Guy,2002,5.7,http://www.sonypictures.com/movies/thenewguy/,M,0,1,0,0,0,0
2205,National Lampoon's Loaded Weapon 1,1993,5.7,,M,0,1,0,0,0,0
2206,The Butterfly Effect,2004,7.3,,M,1,0,1,0,0,0
2207,Snow Day,2000,4.8,,M,0,1,0,0,0,0
2208,This Christmas,2007,7.1,,M,0,1,1,0,0,0
2209,Baby Geniuses,1999,3.3,,M,0,1,1,0,0,0
2210,The Big Hit,1998,6.1,,M,1,1,0,0,0,0
2211,Harriet the Spy,1996,5.7,,M,0,1,1,0,0,0
2212,Child's Play 2,1990,5.8,,M,0,0,1,1,0,0
2213,No Good Deed,2014,5.6,http://www.sonypictures.com/movies/nogooddeed/,M,1,0,0,1,0,0
2214,Ex Machina,2015,7.6,http://exmachina-movie.com/,M,0,0,1,0,0,0
2215,Being John Malkovich,1999,7.3,,M,0,1,1,0,0,0
2216,Two Can Play That Game,2001,6.6,,M,0,1,0,0,0,1
2217,Earth to Echo,2014,5.7,,M,1,0,1,0,0,0
2218,Crazy/Beautiful,2001,6.6,,M,0,0,1,0,0,1
2219,Letters from Iwo Jima,2006,7.2,http://iwojimathemovie.warnerbros.com/lettersofiwojima/framework/framework.html,M,1,0,1,0,1,0
2220,The Astronaut Farmer,2006,6.2,http://theastronautfarmermovie.warnerbros.com/,M,1,1,1,0,0,0
2221,Woo,1998,5.5,,M,0,1,0,0,0,1
2222,Dirty Work,1998,6.5,,M,0,1,0,0,0,0
2223,Serial Mom,1994,6.4,,M,1,1,0,1,0,0
2224,Dick,1999,5.7,,M,0,1,0,0,0,0
2225,Light It Up,1999,6.6,,M,1,0,1,0,0,0
2226,54,1998,5.5,,M,0,0,1,0,1,0
2227,Bubble Boy,2001,5.1,,M,1,1,1,0,0,1
2228,Birthday Girl,2001,6.1,,M,1,1,0,1,0,0
2229,21 & Over,2013,5.7,,M,0,1,0,0,0,0
2230,"Paris, je t'aime",2006,6.8,,M,0,0,1,0,0,1
2231,Resurrecting the Champ,2007,5.9,,M,0,0,1,0,0,0
2232,Admission,2013,5.4,,M,0,1,1,0,0,1
2233,The Widow of Saint-Pierre,2000,6.7,,M,0,0,1,0,0,1
2234,Chloe,2009,5.9,,M,1,0,1,1,0,0
2235,Faithful,1996,4.8,,M,0,1,1,1,0,0
2236,Find Me Guilty,2006,6.5,,M,1,1,1,1,0,0
2237,Excessive Force,1993,4.5,,M,1,0,0,0,0,0
2238,Infamous,2006,6.4,,M,0,0,1,0,0,0
2239,The Claim,2000,5.6,,M,1,0,1,0,0,1
2240,The Vatican Tapes,2015,4.6,,M,1,0,0,1,0,0
2241,Attack the Block,2011,6.3,http://attacktheblock.com/,M,1,1,1,0,0,0
2242,In the Land of Blood and Honey,2011,5.8,http://www.inthelandofbloodandhoney.com/,M,0,0,1,0,1,1
2243,The Call,2013,6.6,http://www.call-movie.com/,M,1,0,0,1,0,0
2244,Operation Chromite,2016,5.8,,M,1,0,1,0,1,0
2245,The Crocodile Hunter: Collision Course,2002,5.3,,M,1,0,0,0,0,0
2246,I Love You Phillip Morris,2009,6.4,,M,0,1,1,0,0,1
2247,Quest for Fire,1981,7.1,,M,1,0,1,0,0,0
2248,Antwone Fisher,2002,6.7,,M,0,0,1,0,0,1
2249,The Emperor's Club,2002,6.9,,M,0,0,1,0,0,1
2250,True Romance,1993,7.5,,M,1,0,0,1,0,1
2251,Womb,2010,5.9,,M,0,0,1,0,0,1
2252,Glengarry Glen Ross,1992,7.5,,M,0,0,1,1,0,0
2253,The Killer Inside Me,2010,6,http://www.killerinsideme.com/,M,1,0,1,1,0,0
2254,Cat People,1982,6,,M,1,0,1,1,0,0
2255,Sorority Row,2009,5.4,,M,1,0,0,1,0,0
2256,The Prisoner of Zenda,2037,8.4,,M,1,0,1,0,0,1
2257,Lars and the Real Girl,2007,7.1,http://www.larsandtherealgirl-themovie.com/,M,0,1,1,0,0,1
2258,Dancer in the Dark,2000,7.6,,M,0,0,1,1,1,0
2259,Oscar and Lucinda,1997,6.2,,M,0,0,1,0,0,1
2260,The Funeral,1996,7.3,,M,0,0,1,1,0,0
