title,year,popularity,comedy,fantasy,romance,horror,action,non-fiction,type
The Hobbit: An Unexpected Journey,2012,7.9,0,1,0,0,1,0,M
21 Jump Street,2012,7.2,1,0,0,1,1,0,M
Sing Street,2016,8,1,1,0,0,0,1,M
Ballerina,2016,6.8,1,0,0,0,1,0,M
Oblivion,2013,7,0,0,0,1,1,0,M
22 Jump Street,2014,7.1,1,0,0,1,1,0,M
Zodiac,2007,7.7,0,1,0,1,0,1,M
Everybody Wants Some!!,2016,7,1,0,0,0,0,0,M
Iron Man Three,2013,7.2,0,1,0,0,1,0,M
Now You See Me,2013,7.3,0,0,0,1,1,0,M
Sherlock Holmes,2009,7.6,0,0,0,1,1,0,M
Death Proof,2007,7.1,0,0,0,0,1,0,M
The Danish Girl,2015,7,0,1,1,0,0,1,M
Hercules,2014,6,0,0,0,0,1,0,M
Sucker Punch,2011,6.1,0,1,0,0,1,0,M
Keeping Up with the Joneses,2016,5.8,1,0,0,0,1,0,M
Jupiter Ascending,2015,5.3,0,1,0,0,1,0,M
Masterminds,2016,5.8,1,0,0,1,1,0,M
Iris,2016,6.1,0,0,0,0,1,0,M
Busanhaeng,2016,7.5,0,1,0,1,1,0,M
Pitch Perfect,2012,7.2,1,0,1,0,0,1,M
Neighbors 2: Sorority Rising,2016,5.7,1,0,0,0,0,0,M
The Exception,2016,7.7,0,1,0,0,0,0,M
Man of Steel,2013,7.1,0,1,0,0,1,0,M
The Choice,2016,6.6,0,1,1,0,0,0,M
Ice Age: Collision Course,2016,5.7,1,0,0,0,1,0,M
The Devil Wears Prada,2006,6.8,1,1,0,0,0,0,M
The Infiltrator,2016,7.1,0,1,0,1,0,1,M
There Will Be Blood,2007,8.1,0,1,0,0,0,1,M
The Equalizer,2014,7.2,0,0,0,1,1,0,M
Lone Survivor,2013,7.5,0,1,0,0,1,1,M
The Cabin in the Woods,2012,7,0,0,0,1,0,0,M
The House Bunny,2008,5.5,1,0,1,0,0,0,M
She's Out of My League,2010,6.4,1,0,1,0,0,0,M
Inherent Vice,2014,6.7,1,1,0,1,0,0,M
Alice Through the Looking Glass,2016,6.2,0,1,0,0,1,0,M
Vincent N Roxxy,2016,5.5,0,1,0,1,1,0,M
The Fast and the Furious: Tokyo Drift,2006,6,0,0,0,1,1,0,M
How to Be Single,2016,6.1,1,0,1,0,0,0,M
The Blind Side,2009,7.7,0,1,0,0,0,1,M
La vie d'AdÃƒÂ¨le,2013,7.8,0,1,1,0,0,0,M
The Babadook,2014,6.8,0,1,0,1,0,0,M
The Hobbit: The Battle of the Five Armies,2014,7.4,0,1,0,0,1,0,M
Harry Potter and the Order of the Phoenix,2007,7.5,0,1,0,0,1,0,M
Snowpiercer,2013,7,0,1,0,0,1,0,M
The 5th Wave,2016,5.2,0,1,0,0,1,0,M
The Stakelander,2016,5.3,0,0,0,1,1,0,M
The Visit,2015,6.2,1,0,0,1,1,0,M
Fast Five,2011,7.3,0,0,0,1,1,0,M
Step Up,2006,6.5,0,1,0,1,0,1,M
Lovesong,2016,6.4,0,1,0,0,0,0,M
RocknRolla,2008,7.3,0,0,0,1,1,0,M
In Time,2011,6.7,0,1,0,0,1,0,M
The Social Network,2010,7.7,0,1,0,0,0,1,M
The Last Witch Hunter,2015,6,0,1,0,0,1,0,M
Victor Frankenstein,2015,6,0,1,0,1,0,0,M
A Street Cat Named Bob,2016,7.4,1,1,0,0,0,1,M
Green Room,2015,7,0,0,0,1,1,0,M
Blackhat,2015,5.4,0,1,0,1,0,0,M
Storks,2016,6.9,1,0,0,0,1,0,M
American Sniper,2014,7.3,0,1,0,0,1,1,M
Dallas Buyers Club,2013,8,0,1,0,0,0,1,M
Lincoln,2012,7.4,0,1,0,0,0,1,M
Rush,2013,8.1,0,1,0,0,1,1,M
Before I Wake,2016,6.1,0,1,0,1,0,0,M
Silver Linings Playbook,2012,7.8,1,1,1,0,0,0,M
Tracktown,2016,5.9,0,1,0,0,0,1,M
The Fault in Our Stars,2014,7.8,0,1,1,0,0,0,M
Blended,2014,6.5,1,0,1,0,0,0,M
Fast & Furious,2009,6.6,0,0,0,1,1,0,M
Looper,2012,7.4,0,1,0,1,1,0,M
White House Down,2013,6.4,0,1,0,0,1,0,M
Pete's Dragon,2016,6.8,0,1,0,0,1,0,M
Spider-Man 3,2007,6.2,0,0,0,0,1,0,M
The Three Musketeers,2011,5.8,0,0,1,0,1,0,M
Stardust,2007,7.7,0,1,0,0,1,0,M
American Hustle,2013,7.3,0,1,0,1,0,0,M
Jennifer's Body,2009,5.1,1,0,0,1,0,0,M
Midnight in Paris,2011,7.7,1,1,1,0,0,0,M
Lady Macbeth,2016,7.3,0,1,0,0,0,0,M
Joy,2015,6.6,0,1,0,0,0,0,M
The Dressmaker,2015,7.1,1,1,0,0,0,0,M
CafÃƒÂ© Society,2016,6.7,1,1,1,0,0,0,M
Insurgent,2015,6.3,0,1,0,0,1,0,M
Seventh Son,2014,5.5,0,1,0,0,1,0,M
Demain tout commence,2016,7.4,1,1,0,0,0,0,M
The Theory of Everything,2014,7.7,0,1,1,0,0,1,M
This Is the End,2013,6.6,1,1,0,0,0,0,M
About Time,2013,7.8,1,1,0,0,0,0,M
Step Brothers,2008,6.9,1,0,0,0,0,0,M
Clown,2014,5.7,0,0,0,1,1,0,M
Star Trek Into Darkness,2013,7.8,0,1,0,0,1,0,M
Zombieland,2009,7.7,1,0,0,1,1,0,M
"Hail, Caesar!",2016,6.3,1,0,0,1,0,0,M
Slumdog Millionaire,2008,8,0,1,0,0,0,0,M
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,0,1,0,0,1,0,M
American Wrestler: The Wizard,2016,6.9,0,1,0,0,0,1,M
The Amazing Spider-Man,2012,7,0,0,0,0,1,0,M
Ben-Hur,2016,5.7,0,1,0,0,1,0,M
Sleight,2016,6,0,1,0,0,1,0,M
The Maze Runner,2014,6.8,0,1,0,1,1,0,M
Criminal,2016,6.3,0,1,0,1,1,0,M
Wanted,2008,6.7,0,1,0,1,1,0,M
Florence Foster Jenkins,2016,6.9,1,1,0,0,0,1,M
Collide,2016,5.7,0,0,0,1,1,0,M
Black Mass,2015,6.9,0,1,0,1,0,1,M
Creed,2015,7.6,0,1,0,0,0,1,M
Swiss Army Man,2016,7.1,1,1,0,0,1,0,M
The Expendables 3,2014,6.1,0,0,0,0,1,0,M
What We Do in the Shadows,2014,7.6,1,1,0,1,0,0,M
Southpaw,2015,7.4,0,1,0,0,0,1,M
Hush,2016,6.6,0,0,0,1,1,0,M
Bridge of Spies,2015,7.6,0,1,0,0,1,1,M
The Lego Movie,2014,7.8,1,0,0,0,1,0,M
Everest,2015,7.1,0,1,0,0,1,0,M
Pixels,2015,5.6,1,0,0,0,1,0,M
Robin Hood,2010,6.7,0,1,0,0,1,0,M
The Wolverine,2013,6.7,0,1,0,0,1,0,M
John Carter,2012,6.6,0,1,0,0,1,0,M
Keanu,2016,6.3,1,0,0,0,1,0,M
The Gunman,2015,5.8,0,1,0,1,1,0,M
Steve Jobs,2015,7.2,0,1,0,0,0,1,M
Whisky Galore,2016,5,1,0,1,0,0,0,M
Grown Ups 2,2013,5.4,1,0,0,0,0,0,M
The Age of Adaline,2015,7.2,0,1,1,0,0,0,M
The Incredible Hulk,2008,6.8,0,1,0,0,1,0,M
Couples Retreat,2009,5.5,1,0,0,0,0,0,M
Absolutely Anything,2015,6,1,1,0,0,0,0,M
Magic Mike,2012,6.1,1,1,0,0,0,0,M
Minions,2015,6.4,1,0,0,0,1,0,M
The Black Room,2016,3.9,0,0,0,1,0,0,M
Bronson,2008,7.1,0,0,0,1,1,1,M
Despicable Me,2010,7.7,1,0,0,0,1,0,M
The Best of Me,2014,6.7,0,1,1,0,0,0,M
The Invitation,2015,6.7,0,1,0,1,1,0,M
Zero Dark Thirty,2012,7.4,0,1,0,0,1,1,M
Tangled,2010,7.8,1,0,0,0,1,0,M
The Hunger Games: Mockingjay - Part 2,2015,6.6,0,1,0,0,1,0,M
Vacation,2015,6.1,1,0,0,0,1,0,M
Taken,2008,7.8,0,0,0,0,1,0,M
Pitch Perfect 2,2015,6.5,1,0,0,0,0,1,M
Monsters University,2013,7.3,1,0,0,0,1,0,M
Elle,2016,7.2,0,1,0,1,1,0,M
Mechanic: Resurrection,2016,5.6,0,0,0,1,1,0,M
