"title@sourceA","year@sourceA","popularity@sourceA","comedy@sourceA","fantasy@sourceA","romance@sourceA","horror@sourceA","action@sourceA","non-fiction@sourceA","type@sourceA","title@sourceB","year@sourceB","homepage@sourceB","popularity@sourceB","romance@sourceB","horror@sourceB","action@sourceB","comedy@sourceB","fantasy@sourceB","non-fiction@sourceB","type@sourceB","Confidence"
"The Girl Next Door","2007","6.7","0","1","0","1","0","0","M","The Girl Next Door","2004","","6.3","0","0","0","1","0","0","M","100"
"Sherlock Holmes","2009","7.6","0","0","0","1","1","0","M","Sherlock Holmes","2009","http://sherlock-holmes-movie.warnerbros.com/","7","0","1","1","0","0","0","M","100"
"Despicable Me 2","2013","7.4","1","0","0","0","1","0","M","Despicable Me 2","2013","http://www.despicableme.com/","7","0","0","0","1","0","0","M","100"
"Clash of the Titans","2010","5.8","0","1","0","0","1","0","M","Clash of the Titans","2010","http://www.clash-of-the-titans.com/","5.6","0","0","1","0","1","0","M","100"
"Allegiant","2016","5.7","0","0","0","1","1","0","M","Allegiant","2016","http://www.thedivergentseries.movie/#allegiant","5.9","0","0","1","0","1","0","M","100"
"Resident Evil: Retribution","2012","5.4","0","1","0","1","1","0","M","Resident Evil: Retribution","2012","http://www.residentevil-movie.com/site/","5.6","0","1","1","0","1","0","M","100"
"Real Steel","2011","7.1","0","1","0","0","1","0","M","Real Steel","2011","http://www.steelgetsreal.com/","6.6","0","0","1","0","1","0","M","100"
"Lights Out","2016","6.4","0","0","0","1","0","0","M","Lights Out","2016","http://www.lightsoutmovie.com/","6.3","0","1","1","0","0","0","M","100"
"Warcraft","2016","7","0","1","0","0","1","0","M","Warcraft","2016","http://www.warcraft-themovie.com/","6.3","0","0","1","0","1","0","M","100"
"Total Recall","2012","6.3","0","0","0","1","1","0","M","Total Recall","1990","","7.1","0","0","1","0","1","0","M","100"
"Dope","2015","7.3","1","1","0","1","0","0","M","Dope","2015","http://www.youaredope.com/","7.2","0","1","0","1","1","0","M","100"
"Avengers: Age of Ultron","2015","7.4","0","1","0","0","1","0","M","Avengers: Age of Ultron","2015","http://marvel.com/movies/movie/193/avengers_age_of_ultron","7.3","0","0","1","0","1","0","M","100"
"The Expendables 3","2014","6.1","0","0","0","0","1","0","M","The Expendables 3","2014","http://theexpendables3film.com/","6.1","0","0","1","0","0","0","M","100"
"Ben-Hur","2016","5.7","0","1","0","0","1","0","M","Ben-Hur","2016","http://www.benhurmovie.com/","5.3","0","0","0","0","1","0","M","100"
"Exodus: Gods and Kings","2014","6","0","1","0","0","1","0","M","Exodus: Gods and Kings","2014","http://www.exodusgodsandkings.com/","5.6","0","0","1","0","1","0","M","100"
"Anna Karenina","2012","6.6","0","1","1","0","0","0","M","Anna Karenina","2012","","6.5","1","0","0","0","1","0","M","100"
"Fantastic Mr. Fox","2009","7.8","1","0","0","0","1","0","M","Fantastic Mr. Fox","2009","http://www.foxsearchlight.com/fantasticmrfox/","7.5","0","0","1","1","0","0","M","100"
